"","State","Rank","Name","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Earn","CrimeRate","HappyRank","HappyScore"
"1","CA",1,"Stanford University","Stanford","94305","www.stanford.edu/",37.426967,-122.168826,"0.0509","Private nonprofit","Suburb","1465",60311,0,0,0,1,0,1,1,1,1,1,0,1,"122100",396.1,10,59.96
"2","MA",2,"Williams College","Williamstown","01267","www.williams.edu",42.711669,-73.205888,"0.1932","Private nonprofit","Town","1452",61850,0,1,0,1,0,0,1,1,1,1,0,1,"68800",391.4,16,57.42
"3","NJ",3,"Princeton University","Princeton","08544-0070","www.princeton.edu",40.34853,-74.663603,"0.0744","Private nonprofit","Suburb","1491",57400,0,0,1,0,0,1,1,1,1,1,0,1,"93200",261.2,20,56.82
"4","MA",4,"Harvard University","Cambridge","02138","www.harvard.edu",42.374429,-71.118177,"0.0596","Private nonprofit","City","1501",59950,0,1,0,1,0,1,1,1,1,1,0,1,"112800",391.4,16,57.42
"5","MA",5,"Massachusetts Institute of Technology","Cambridge","02139-4307","web.mit.edu/student/",42.360095,-71.092115,"0.0788","Private nonprofit","City","1500",59020,0,0,1,1,0,1,1,1,0,1,1,1,"126500",391.4,16,57.42
"6","CT",6,"Yale University","New Haven","06520","www.yale.edu",41.311158,-72.926688,"0.063","Private nonprofit","City","1493",61620,0,1,1,1,0,1,1,1,1,1,0,1,"100500",236.9,17,57.04
"7","CA",7,"Pomona College","Claremont","91711-6319","www.pomona.edu",34.098298,-117.711944,"0.1219","Private nonprofit","Suburb","1454",59730,0,1,0,1,0,1,1,1,1,1,0,1,"56300",396.1,10,59.96
"8","RI",8,"Brown University","Providence","02912","www.brown.edu",41.827605,-71.404467,"0.0874","Private nonprofit","City","1435",60460,0,1,0,1,1,1,1,1,1,1,1,1,"68500",219.2,27,52.37
"9","CT",9,"Wesleyan University","Middletown","06459","www.wesleyan.edu",41.55678,-72.656755,"0.2391","Private nonprofit","City","NULL",62849,0,1,0,1,0,0,1,1,1,1,0,1,"46500",236.9,17,57.04
"10","PA",10,"Swarthmore College","Swarthmore","19081","www.swarthmore.edu",39.904081,-75.356066,"0.1702","Private nonprofit","Suburb","1433",60671,0,1,0,1,1,1,1,1,1,1,0,1,"46600",314.1,34,49.98
"11","PA",11,"University of Pennsylvania","Philadelphia","19104-6303","www.upenn.edu",39.951002,-75.193618,"0.1037","Private nonprofit","City","1452",61800,0,1,1,1,0,1,1,1,1,1,1,1,"106900",314.1,34,49.98
"12","MA",12,"Amherst College","Amherst","01002-5000","www.amherst.edu",42.372459,-72.518493,"0.1384","Private nonprofit","Suburb","1439",61544,0,1,1,1,0,0,1,1,1,1,0,1,"62100",391.4,16,57.42
"13","IN",13,"University of Notre Dame","Notre Dame","46556","www.nd.edu",41.703058,-86.238959,"0.2114","Private nonprofit","Suburb","1450",60117,0,1,1,1,1,1,1,1,1,1,1,1,"78700",365.3,40,45.94
"14","IL",14,"Northwestern University","Evanston","60208","www.northwestern.edu",42.058377,-87.673653,"0.1311","Private nonprofit","City","1461",63028,0,1,0,1,1,1,1,1,1,1,1,1,"73500",370,25,52.6
"15","NY",15,"Columbia University in the City of New York","New York","10027","www.columbia.edu",40.808286,-73.961885,"0.0695","Private nonprofit","City","1470",64144,0,1,1,1,1,1,1,1,1,1,1,1,"92100",381.8,26,52.54
"16","NH",16,"Dartmouth College","Hanover","03755-3529","www.dartmouth.edu",43.70408,-72.289951,"0.115","Private nonprofit","Town","1444",63279,0,1,0,1,0,1,1,1,1,1,0,1,"85300",196.1,11,59.5
"17","MA",17,"Tufts University","Medford","02155-5555","www.tufts.edu",42.406994,-71.121689,"0.1724","Private nonprofit","Suburb","1423",61000,0,1,1,1,0,1,1,1,1,1,0,1,"82900",391.4,16,57.42
"18","ME",18,"Bowdoin College","Brunswick","04011","www.bowdoin.edu/",43.906902,-69.965241,"0.1491","Private nonprofit","Town","NULL",59900,0,1,0,1,1,0,1,1,1,1,0,1,"63300",127.8,33,51.32
"19","IL",19,"University of Chicago","Chicago","60637","WWW.UCHICAGO.EDU",41.78917,-87.601196,"0.0876","Private nonprofit","City","1505",64988,0,1,0,1,0,0,1,1,1,2,0,1,"81700",370,25,52.6
"20","DC",20,"Georgetown University","Washington","20057-0001","www.georgetown.edu",38.908809,-77.073463,"0.1735","Private nonprofit","City","1414",62179,0,0,0,1,0,0,1,1,1,1,1,1,"99400",1244.4,18,57.01
"21","MA",21,"Boston College","Chestnut Hill","02467","www.bc.edu",42.337688,-71.171488,"0.3391","Private nonprofit","City","1380",60690,0,1,0,1,1,0,1,1,1,1,1,1,"77600",391.4,16,57.42
"22","PA",22,"Haverford College","Haverford","19041-1392","www.haverford.edu",40.013368,-75.302562,"0.2469","Private nonprofit","Suburb","1422",61898,0,0,1,1,0,0,1,1,1,1,0,1,"53100",314.1,34,49.98
"23","NC",23,"Davidson College","Davidson","28035","www.davidson.edu/",35.500006,-80.845236,"0.2167","Private nonprofit","Suburb","1337",57458,0,1,0,0,0,0,1,1,1,1,0,1,"60900",329.5,30,52.16
