"","Name","Rank","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"1","Stanford University",1,"Stanford","CA","94305","www.stanford.edu/","37.426967","-122.168826","0.0509",2,"21","1465",60311,"0","0","0","1","0","1","1","1","1","1","0","1"
"2","Williams College",2,"Williamstown","MA","01267","www.williams.edu","42.711669","-73.205888","0.1932",2,"31","1452",61850,"0","1","0","1","0","0","1","1","1","1","0","1"
"3","Princeton University",3,"Princeton","NJ","08544-0070","www.princeton.edu","40.34853","-74.663603","0.0744",2,"21","1491",57400,"0","0","1","0","0","1","1","1","1","1","0","1"
"4","Harvard University",4,"Cambridge","MA","02138","www.harvard.edu","42.374429","-71.118177","0.0596",2,"12","1501",59950,"0","1","0","1","0","1","1","1","1","1","0","1"
"5","Massachusetts Institute of Technology",5,"Cambridge","MA","02139-4307","web.mit.edu/student/","42.360095","-71.092115","0.0788",2,"12","1500",59020,"0","0","1","1","0","1","1","1","0","1","1","1"
"6","Yale University",6,"New Haven","CT","06520","www.yale.edu","41.311158","-72.926688","0.063",2,"12","1493",61620,"0","1","1","1","0","1","1","1","1","1","0","1"
"7","Pomona College",7,"Claremont","CA","91711-6319","www.pomona.edu","34.098298","-117.711944","0.1219",2,"21","1454",59730,"0","1","0","1","0","1","1","1","1","1","0","1"
"8","Brown University",8,"Providence","RI","02912","www.brown.edu","41.827605","-71.404467","0.0874",2,"12","1435",60460,"0","1","0","1","1","1","1","1","1","1","1","1"
"9","Wesleyan University",9,"Middletown","CT","06459","www.wesleyan.edu","41.55678","-72.656755","0.2391",2,"13","NULL",62849,"0","1","0","1","0","0","1","1","1","1","0","1"
"10","Swarthmore College",10,"Swarthmore","PA","19081","www.swarthmore.edu","39.904081","-75.356066","0.1702",2,"21","1433",60671,"0","1","0","1","1","1","1","1","1","1","0","1"
"11","University of Pennsylvania",11,"Philadelphia","PA","19104-6303","www.upenn.edu","39.951002","-75.193618","0.1037",2,"11","1452",61800,"0","1","1","1","0","1","1","1","1","1","1","1"
"12","Amherst College",12,"Amherst","MA","01002-5000","www.amherst.edu","42.372459","-72.518493","0.1384",2,"21","1439",61544,"0","1","1","1","0","0","1","1","1","1","0","1"
"13","University of Notre Dame",13,"Notre Dame","IN","46556","www.nd.edu","41.703058","-86.238959","0.2114",2,"21","1450",60117,"0","1","1","1","1","1","1","1","1","1","1","1"
"14","Northwestern University",14,"Evanston","IL","60208","www.northwestern.edu","42.058377","-87.673653","0.1311",2,"13","1461",63028,"0","1","0","1","1","1","1","1","1","1","1","1"
