Name,Ranking,ID,Rank
Alabama A & M University,NA,1,NA
University of Alabama at Birmingham,NA,2,229
Amridge University,NA,3,NA
University of Alabama in Huntsville,NA,4,NA
Alabama State University,NA,5,NA
The University of Alabama,NA,6,NA
Central Alabama Community College,NA,7,NA
Athens State University,NA,8,NA
Auburn University at Montgomery,NA,9,NA
Auburn University,NA,10,181
Birmingham Southern College,NA,11,NA
Chattahoochee Valley Community College,NA,12,NA
Concordia College Alabama,NA,13,NA
South University-Montgomery,NA,14,NA
Enterprise State Community College,NA,15,NA
James H Faulkner State Community College,NA,16,NA
Faulkner University,NA,17,NA
Gadsden State Community College,NA,18,NA
New Beginning College of Cosmetology,NA,19,NA
George C Wallace State Community College-Dothan,NA,20,NA
George C Wallace State Community College-Hanceville,NA,21,NA
George C Wallace State Community College-Selma,NA,22,NA
Herzing University-Birmingham,NA,23,NA
Huntingdon College,NA,24,NA
Heritage Christian University,NA,25,NA
J F Drake State Community and Technical College,NA,26,NA
Jacksonville State University,NA,27,NA
Jefferson Davis Community College,NA,28,NA
Jefferson State Community College,NA,29,NA
John C Calhoun State Community College,NA,30,NA
Judson College,NA,31,NA
Lawson State Community College-Birmingham Campus,NA,32,NA
University of West Alabama,NA,33,NA
Lurleen B Wallace Community College,NA,34,NA
Marion Military Institute,NA,35,NA
Miles College,NA,36,NA
University of Mobile,NA,37,NA
University of Montevallo,NA,38,NA
Northwest-Shoals Community College,NA,39,NA
University of North Alabama,NA,40,NA
Northeast Alabama Community College,NA,41,NA
Oakwood University,NA,42,NA
Alabama Southern Community College,NA,43,NA
Prince Institute-Southeast,NA,44,NA
Reid State Technical College,NA,45,NA
Bishop State Community College,NA,46,NA
Samford University,NA,47,182
Selma University,NA,48,NA
Shelton State Community College,NA,49,NA
Snead State Community College,NA,50,NA
University of South Alabama,NA,51,NA
Spring Hill College,NA,52,NA
Southeastern Bible College,NA,53,NA
Stillman College,NA,54,NA
Talladega College,NA,55,NA
H Councill Trenholm State Community College,NA,56,NA
Troy University,NA,57,NA
Tuskegee University,NA,58,NA
United States Sports Academy,NA,59,NA
Bevill State Community College,NA,60,NA
University of Alaska Anchorage,NA,61,NA
Alaska Bible College,NA,62,NA
University of Alaska Fairbanks,NA,63,NA
University of Alaska Southeast,NA,64,NA
Alaska Pacific University,NA,65,NA
AVTEC-Alaska's Institute of Technology,NA,66,NA
Charter College-Anchorage,NA,67,NA
Alaska Career College,NA,68,NA
Everest College-Phoenix,NA,69,NA
Collins College,NA,70,NA
Empire Beauty School-Paradise Valley,NA,71,NA
Empire Beauty School-Tucson,NA,72,NA
Thunderbird School of Global Management,NA,73,NA
American Indian College Inc,NA,74,NA
American Institute of Technology,NA,75,NA
Carrington College-Phoenix,NA,76,NA
Carrington College-Mesa,NA,77,NA
Carrington College-Tucson,NA,78,NA
CollegeAmerica-Flagstaff,NA,79,NA
Arizona Academy of Beauty-East,NA,80,NA
Arizona Automotive Institute,NA,81,NA
Brookline College-Phoenix,NA,82,NA
Arizona State University-Tempe,NA,83,150
Arizona State University-Tempe,NA,83,251
Arizona Western College,NA,84,NA
University of Arizona,NA,85,204
Southwest University of Visual Arts-Tucson,NA,86,NA
Central Arizona College,NA,87,NA
Brown Mackie College-Tucson,NA,88,NA
Charles of Italy Beauty College,NA,89,NA
Cochise County Community College District,NA,90,NA
Empire Beauty School-Flagstaff,NA,91,NA
Empire Beauty School-Chandler,NA,92,NA
Cortiva Institute-Tucson,NA,93,NA
Avalon School of Cosmetology-Mesa,NA,94,NA
Eastern Arizona College,NA,95,NA
Embry-Riddle Aeronautical University-Prescott,NA,96,NA
Frank Lloyd Wright School of Architecture,NA,97,NA
Glendale Community College,NA,98,NA
Grand Canyon University,NA,99,NA
International Academy of Hair Design,NA,100,NA
GateWay Community College,NA,101,NA
Mesa Community College,NA,102,NA
ITT Technical Institute-Tucson,NA,103,NA
ITT Technical Institute-Tempe,NA,104,NA
Mohave Community College,NA,105,NA
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,NA,106,NA
Dine College,NA,107,NA
Northern Arizona University,NA,108,NA
Northland Pioneer College,NA,109,NA
Ottawa University-Phoenix,NA,110,NA
Phoenix College,NA,111,NA
Cortiva Institute-Scottsdale,NA,112,NA
Pima Community College,NA,113,NA
Pima Medical Institute-Tucson,NA,114,NA
Pima Medical Institute-Albuquerque,NA,115,NA
Prescott College,NA,116,NA
Refrigeration School Inc,NA,117,NA
Rio Salado College,NA,118,NA
Roberto-Venn School of Luthiery,NA,119,NA
Hair Academy of Safford,NA,120,NA
Scottsdale Community College,NA,121,NA
South Mountain Community College,NA,122,NA
Arizona Christian University,NA,123,NA
Tucson College,NA,124,NA
Universal Technical Institute of Arizona Inc,NA,125,NA
Western International University,NA,126,NA
Empire Beauty School-NW Phoenix,NA,127,NA
Yavapai College,NA,128,NA
University of Arkansas at Little Rock,NA,129,NA
University of Arkansas for Medical Sciences,NA,130,NA
ABC Beauty College Inc,NA,131,NA
Arkansas Baptist College,NA,132,NA
Arkansas Beauty School-Little Rock,NA,133,NA
Arkansas Beauty College,NA,134,NA
Lyon College,NA,135,NA
Arkansas College of Barbering and Hair Design,NA,136,NA
Arthur's Beauty College Inc-Fort Smith,NA,137,NA
University of Arkansas,NA,138,242
University of Arkansas at Pine Bluff,NA,139,NA
Arkansas State University-Beebe,NA,140,NA
Arkansas State University-Main Campus,NA,141,NA
Arkansas Tech University,NA,142,NA
University of Arkansas at Monticello,NA,143,NA
Arthur's Beauty College Inc-Jacksonville,NA,144,NA
Baptist Health College-Little Rock,NA,145,NA
Black River Technical College,NA,146,NA
University of Central Arkansas,NA,147,NA
Central Baptist College,NA,148,NA
Cossatot Community College of the University of Arkansas,NA,149,NA
Crowley's Ridge College,NA,150,NA
Crowley's Ridge Technical Institute,NA,151,NA
East Arkansas Community College,NA,152,NA
Eastern College of Health Vocations-Little Rock,NA,153,NA
Imagine-Paul Mitchell Partner School,NA,154,246
National Park Community College,NA,155,NA
University of Arkansas Community College-Batesville,NA,156,NA
Harding University,NA,157,NA
Henderson State University,NA,158,NA
Hendrix College,NA,159,151
Hot Springs Beauty College,NA,160,NA
Jefferson Regional Medical Center School of Nursing,NA,161,NA
John Brown University,NA,162,NA
Lees School of Cosmetology,NA,163,NA
Career Academy of Hair Design,NA,164,NA
Academy of Salon and Spa,NA,165,NA
Arkansas State University Mid-South,NA,166,NA
Arkansas Northeastern College,NA,167,NA
Margaret's Hair Academy Inc,NA,168,NA
New Tyler Barber College Inc,NA,169,NA
North Arkansas College,NA,170,NA
Northwest Technical Institute,NA,171,NA
Ouachita Baptist University,NA,172,NA
College of the Ouachitas,NA,173,NA
Ozarka College,NA,174,NA
University of the Ozarks,NA,175,NA
University of Arkansas Community College-Morrilton,NA,176,NA
Philander Smith College,NA,177,NA
Phillips Community College of the University of Arkansas,NA,178,NA
Southeast Arkansas College,NA,179,NA
Professional Cosmetology Education Center,NA,180,NA
Pulaski Technical College,NA,181,NA
University of Arkansas Community College-Hope,NA,182,NA
Rich Mountain Community College,NA,183,NA
Paul Mitchell the School-Arkansas,NA,184,NA
