"","Rank","Name","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Earn"
"97",97,"Babson College","Wellesley","MA","02457-0310","www.babson.edu","42.296529","-71.269479","0.2631",2,"21","1272",60494,"0","0","0","0","0","0","0","0","0","0","2","0","84900"
"98",98,"St Olaf College","Northfield","MN","55057-1098","wp.stolaf.edu","44.462884","-93.183633","0.5128",2,"32","1292",51860,"0","1","0","1","1","0","1","1","1","1","0","1","45100"
"99",99,"Wofford College","Spartanburg","SC","29303-3663","www.wofford.edu","34.957914","-81.934572","0.7739",2,"13","1194",49150,"0","1","0","1","1","0","1","1","1","1","1","1","50000"
"100",100,"Furman University","Greenville","SC","29613-6162","www.furman.edu","34.920785","-82.441473","0.6871",2,"21","NULL",57276,"0","0","0","1","1","1","1","1","1","1","1","1","48100"
"101",101,"Rhode Island School of Design","Providence","RI","02903-2784","www.risd.edu","41.825935","-71.407692","0.3259",2,"12","1254",61352,"0","0","1","0","0","0","0","0","0","0","0","0","44900"
"102",102,"Case Western Reserve University","Cleveland","OH","44106","www.case.edu","41.500812","-81.605769","0.3831",2,"11","1375",57405,"0","1","1","1","1","1","1","1","1","1","1","1","74200"
"103",103,"Sarah Lawrence College","Bronxville","NY","10708","www.slc.edu","40.934147","-73.84381","0.5314",2,"21","NULL",64056,"0","0","0","0","0","0","0","0","0","0","0","0","39400"
"104",104,"Providence College","Providence","RI","02918-0001","www.providence.edu","41.844064","-71.43792","0.6306",2,"12","NULL",57517,"0","0","0","1","1","1","1","1","1","1","1","1","59400"
"105",105,"University of California-Santa Barbara","Santa Barbara","CA","93106","www.ucsb.edu","34.416281","-119.846404","0.3634",1,"22","1253",33826,"0","1","0","1","0","1","1","1","1","1","1","1","49600"
"106",106,"Indiana University-Bloomington","Bloomington","IN","47405-7000","www.iub.edu","39.166383","-86.526904","0.7609",1,"13","1198",23716,"0","1","0","1","1","0","1","1","1","1","2","1","48300"
"107",107,"Southern Methodist University","Dallas","TX","75275-0221","www.smu.edu","32.845254","-96.784855","0.524",2,"21","1316",60938,"0","1","0","1","1","1","1","1","1","1","1","1","62600"
"108",108,"University of California-San Diego","La Jolla","CA","92093","www.ucsd.edu","32.876598","-117.237793","0.3329",1,"11","1313",30092,"0","1","0","1","1","1","1","1","1","1","1","1","55200"
"109",109,"Virginia Polytechnic Institute and State University","Blacksburg","VA","24061-0131","WWW.VT.EDU","37.228572","-80.423229","0.7263",1,"13","1215",26165,"1","1","1","1","1","1","1","1","1","1","1","1","55900"
"110",110,"University of Minnesota-Twin Cities","Minneapolis","MN","55455-0213","www1.umn.edu/twincities/index.php","44.977886","-93.235352","0.4535",1,"11","1271",24551,"1","1","1","2","2","2","1","1","1","1","2","1","49900"
"111",111,"University of Colorado Boulder","Boulder","CO","80309-0017","www.colorado.edu","40.004415","-105.267061","0.8416",1,"13","1207",28887,"0","1","1","1","1","1","1","1","1","1","1","1","47000"
"112",112,"Gettysburg College","Gettysburg","PA","17325","WWW.GETTYSBURG.EDU","39.836091","-77.234982","0.4543",2,"13","NULL",58320,"0","1","0","0","1","0","1","1","1","1","1","1","53200"
"113",113,"Bard College","Annandale-On-Hudson","NY","12504-5000","www.bard.edu","42.021803","-73.906243","0.4461",2,"31","NULL",62572,"0","0","0","0","0","0","0","0","0","1","1","0","33700"
"114",114,"Pitzer College","Claremont","CA","91711-6101","www.pitzer.edu","34.103408","-117.705939","0.1302",2,"21","NULL",61416,"0","1","1","1","1","1","1","1","1","1","1","1","39400"
"115",115,"American University","Washington","DC","20016-8001","WWW.AMERICAN.EDU","38.937802","-77.090106","0.4584",2,"11","1252",56620,"0","1","0","1","1","0","1","1","1","1","1","1","55200"
"116",116,"University of California-Davis","Davis","CA","95616-8678","www.ucdavis.edu","38.539895","-121.751958","0.4037",1,"23","1226",32638,"1","1","1","1","1","1","1","1","1","1","1","1","53700"
"117",117,"Hobart William Smith Colleges","Geneva","NY","14456","WWW.HWS.EDU","42.857725","-76.984533","0.4753",2,"32","NULL",59850,"0","1","1","1","0","0","1","1","1","1","0","1","49400"
"118",118,"Indiana University-Purdue University-Fort Wayne","Fort Wayne","IN","46805-1499","www.ipfw.edu","41.115418","-85.111747","0.9087",1,"11","1002",18755,"0","0","0","2","1","1","1","1","1","1","1","1","34500"
"119",119,"Muhlenberg College","Allentown","PA","18104","www.muhlenberg.edu","40.597362","-75.508954","0.528",2,"12","NULL",55200,"0","1","0","1","0","0","1","1","1","1","1","1","51400"
"120",120,"Tulane University of Louisiana","New Orleans","LA","70118-5698","tulane.edu","29.939696","-90.120409","0.2795",2,"11","1342",61055,"0","1","1","1","1","1","1","1","1","1","1","1","67600"
"121",121,"Pepperdine University","Malibu","CA","90263","www.pepperdine.edu/","34.041912","-118.707677","0.3546",2,"21","1234",61164,"0","0","0","1","1","0","1","1","1","1","1","1","67300"
"122",122,"Earlham College","Richmond","IN","47374-4095","www.earlham.edu","39.822278","-84.911464","0.6452",2,"32","NULL",52710,"0","1","0","1","0","1","1","1","1","1","1","1","30700"
"123",123,"The College of Wooster","Wooster","OH","44691","www.wooster.edu","40.81046","-81.934674","0.5909",2,"32","1229",53500,"0","0","0","1","1","0","1","1","1","1","0","1","43300"
"124",124,"Lawrence University","Appleton","WI","54911","www.lawrence.edu","44.261323","-88.397822","0.7295",2,"13","NULL",51897,"0","1","0","0","1","0","1","1","1","1","0","1","40500"
"125",125,"Rensselaer Polytechnic Institute","Troy","NY","12180-3590","www.rpi.edu","42.728983","-73.678768","0.375",2,"13","1372",61820,"0","1","1","1","0","1","1","1","1","1","1","0","71400"
"126",126,"Drake University","Des Moines","IA","50311-4505","www.drake.edu","41.60381","-93.654062","0.6926",2,"12","1239",44261,"0","1","0","1","1","0","1","1","1","1","1","1","57200"
"127",127,"University of Delaware","Newark","DE","19716","www.udel.edu/","39.6795744","-75.7529169","0.6783",1,"21","1194",23357,"1","1","1","1","2","2","1","1","1","2","2","2","53100"
"128",128,"University of Vermont","Burlington","VT","05405-0160","www.uvm.edu","44.479262","-73.198128","0.7344",1,"13","1191",28348,"1","1","0","1","1","1","1","1","1","1","1","1","44500"
"129",129,"University of Denver","Denver","CO","80208","www.du.edu","39.695954","-104.964625","0.7649",2,"11","1231",55476,"1","1","0","1","0","1","1","1","1","2","2","1","53000"
"130",130,"Colorado School of Mines","Golden","CO","80401","www.mines.edu","39.75079","-105.227148","0.3647",1,"21","1333",30154,"0","0","0","1","0","1","0","1","0","1","0","0","80900"
"131",131,"Rutgers University-Camden","Camden","NJ","08102","www.rutgers.edu","39.948628","-75.125303","0.6038",1,"13","1025",23651,"0","0","0","1","0","0","1","1","1","1","1","1","54700"
"132",132,"Texas A & M University-Corpus Christi","Corpus Christi","TX","78412-5503","www.tamucc.edu","27.718601","-97.331933","0.8462",1,"11","970",18745,"0","1","0","1","0","1","1","1","1","1","1","1","41500"
"133",133,"Bennington College","Bennington","VT","05201-6003","www.bennington.edu","42.92004","-73.237498","0.6721",2,"32","NULL",61920,"0","1","1","1","1","0","1","1","1","1","0","1","30900"
"134",134,"Syracuse University","Syracuse","NY","13244","syr.edu/","43.040005","-76.136633","0.5323",2,"12","1184",57450,"0","0","1","1","1","1","1","1","1","1","1","1","55000"
"135",135,"Fordham University","Bronx","NY","10458","www.fordham.edu","40.861183","-73.889578","0.4812",2,"11","1254",59105,"0","0","0","1","1","1","1","1","1","1","1","1","53400"
"136",136,"Beloit College","Beloit","WI","53511-5595","www.beloit.edu","42.50363","-89.03147","0.6931",2,"13","NULL",50378,"0","1","0","1","1","1","1","1","1","1","1","1","39100"
"137",137,"University of Connecticut","Storrs","CT","06269","uconn.edu/","41.806261","-72.247969","0.4996",1,"21","1246",26966,"1","1","1","1","1","1","1","1","1","1","1","1","55200"
"138",138,"Willamette University","Salem","OR","97301","www.willamette.edu","44.935743","-123.030727","0.8131",2,"12","1209",54536,"0","1","0","1","0","0","1","1","1","1","0","1","44400"
"139",139,"Michigan State University","East Lansing","MI","48824-1046","www.msu.edu","42.73212","-84.476111","0.6609",1,"13","1158",24323,"1","1","1","1","1","1","1","1","1","1","1","1","51700"
"140",140,"Loyola Marymount University","Los Angeles","CA","90045-2659","www.lmu.edu","33.970633","-118.415655","0.5271",2,"11","1218",57016,"0","1","0","1","0","1","1","1","1","1","1","1","59700"
"141",141,"Hampshire College","Amherst","MA","01002-5001","www.hampshire.edu","42.324772","-72.532401","0.6664",2,"21","NULL",60048,"1","1","1","1","1","0","1","1","1","1","1","1","29600"
"142",142,"Wabash College","Crawfordsville","IN","47933-0352","www.wabash.edu","40.037799","-86.905809","0.6998",2,"32","1128",46660,"0","0","0","0","0","0","1","1","1","1","0","1","51300"
"143",143,"St Lawrence University","Canton","NY","13617","www.stlawu.edu","44.589879","-75.161343","0.4764",2,"33","NULL",59550,"0","1","0","1","0","0","1","1","1","1","1","1","47800"
"144",144,"College of the Atlantic","Bar Harbor","ME","04609","www.coa.edu","44.399584","-68.228849","0.711",2,"33","NULL",49890,"0","0","0","0","0","0","0","0","0","0","0","0","22400"
"145",145,"Hope College","Holland","MI","49422-9000","www.hope.edu","42.788052","-86.105376","0.7741",2,"13","1185",39856,"0","0","0","1","1","1","1","1","1","1","1","1","41900"
"146",146,"Lewis & Clark College","Portland","OR","97219-7899","www.lclark.edu/","45.450547","-122.672478","0.6662",2,"11","NULL",55517,"0","1","0","1","0","0","1","1","1","1","0","1","42300"
