"","Rank","Name","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Earn"
"1",1,"Stanford University","Stanford","CA","94305","www.stanford.edu/","37.426967","-122.168826","0.0509",2,"21","1465",60311,"0","0","0","1","0","1","1","1","1","1","0","1","122100"
"2",2,"Williams College","Williamstown","MA","01267","www.williams.edu","42.711669","-73.205888","0.1932",2,"31","1452",61850,"0","1","0","1","0","0","1","1","1","1","0","1","68800"
"3",3,"Princeton University","Princeton","NJ","08544-0070","www.princeton.edu","40.34853","-74.663603","0.0744",2,"21","1491",57400,"0","0","1","0","0","1","1","1","1","1","0","1","93200"
"4",4,"Harvard University","Cambridge","MA","02138","www.harvard.edu","42.374429","-71.118177","0.0596",2,"12","1501",59950,"0","1","0","1","0","1","1","1","1","1","0","1","112800"
"5",5,"Massachusetts Institute of Technology","Cambridge","MA","02139-4307","web.mit.edu/student/","42.360095","-71.092115","0.0788",2,"12","1500",59020,"0","0","1","1","0","1","1","1","0","1","1","1","126500"
"6",6,"Yale University","New Haven","CT","06520","www.yale.edu","41.311158","-72.926688","0.063",2,"12","1493",61620,"0","1","1","1","0","1","1","1","1","1","0","1","100500"
"7",7,"Pomona College","Claremont","CA","91711-6319","www.pomona.edu","34.098298","-117.711944","0.1219",2,"21","1454",59730,"0","1","0","1","0","1","1","1","1","1","0","1","56300"
"8",8,"Brown University","Providence","RI","02912","www.brown.edu","41.827605","-71.404467","0.0874",2,"12","1435",60460,"0","1","0","1","1","1","1","1","1","1","1","1","68500"
"9",9,"Wesleyan University","Middletown","CT","06459","www.wesleyan.edu","41.55678","-72.656755","0.2391",2,"13","NULL",62849,"0","1","0","1","0","0","1","1","1","1","0","1","46500"
"10",10,"Swarthmore College","Swarthmore","PA","19081","www.swarthmore.edu","39.904081","-75.356066","0.1702",2,"21","1433",60671,"0","1","0","1","1","1","1","1","1","1","0","1","46600"
"11",11,"University of Pennsylvania","Philadelphia","PA","19104-6303","www.upenn.edu","39.951002","-75.193618","0.1037",2,"11","1452",61800,"0","1","1","1","0","1","1","1","1","1","1","1","106900"
"12",12,"Amherst College","Amherst","MA","01002-5000","www.amherst.edu","42.372459","-72.518493","0.1384",2,"21","1439",61544,"0","1","1","1","0","0","1","1","1","1","0","1","62100"
"13",13,"University of Notre Dame","Notre Dame","IN","46556","www.nd.edu","41.703058","-86.238959","0.2114",2,"21","1450",60117,"0","1","1","1","1","1","1","1","1","1","1","1","78700"
"14",14,"Northwestern University","Evanston","IL","60208","www.northwestern.edu","42.058377","-87.673653","0.1311",2,"13","1461",63028,"0","1","0","1","1","1","1","1","1","1","1","1","73500"
"15",15,"Columbia University in the City of New York","New York","NY","10027","www.columbia.edu","40.808286","-73.961885","0.0695",2,"11","1470",64144,"0","1","1","1","1","1","1","1","1","1","1","1","92100"
"16",16,"Dartmouth College","Hanover","NH","03755-3529","www.dartmouth.edu","43.70408","-72.289951","0.115",2,"33","1444",63279,"0","1","0","1","0","1","1","1","1","1","0","1","85300"
"17",17,"Tufts University","Medford","MA","02155-5555","www.tufts.edu","42.406994","-71.121689","0.1724",2,"21","1423",61000,"0","1","1","1","0","1","1","1","1","1","0","1","82900"
"18",18,"Bowdoin College","Brunswick","ME","04011","www.bowdoin.edu/","43.906902","-69.965241","0.1491",2,"31","NULL",59900,"0","1","0","1","1","0","1","1","1","1","0","1","63300"
"19",19,"University of Chicago","Chicago","IL","60637","WWW.UCHICAGO.EDU","41.78917","-87.601196","0.0876",2,"11","1505",64988,"0","1","0","1","0","0","1","1","1","2","0","1","81700"
"20",20,"Georgetown University","Washington","DC","20057-0001","www.georgetown.edu","38.908809","-77.073463","0.1735",2,"11","1414",62179,"0","0","0","1","0","0","1","1","1","1","1","1","99400"
"21",21,"Boston College","Chestnut Hill","MA","02467","www.bc.edu","42.337688","-71.171488","0.3391",2,"13","1380",60690,"0","1","0","1","1","0","1","1","1","1","1","1","77600"
"22",22,"Haverford College","Haverford","PA","19041-1392","www.haverford.edu","40.013368","-75.302562","0.2469",2,"21","1422",61898,"0","0","1","1","0","0","1","1","1","1","0","1","53100"
"23",23,"Davidson College","Davidson","NC","28035","www.davidson.edu/","35.500006","-80.845236","0.2167",2,"21","1337",57458,"0","1","0","0","0","0","1","1","1","1","0","1","60900"
"24",24,"Duke University","Durham","NC","27708","WWW.DUKE.EDU","36.00159","-78.94226","0.1141",2,"12","1454",61748,"0","1","0","1","1","1","1","1","1","1","0","1","98300"
"25",25,"Carleton College","Northfield","MN","55057-4001","www.carleton.edu","44.462304","-93.154662","0.2277",2,"32","1408",60401,"0","1","0","1","0","0","1","1","1","1","0","1","52100"
"26",26,"Claremont McKenna College","Claremont","CA","91711-6400","www.cmc.edu","34.102323","-117.706593","0.1077",2,"21","1419",62010,"0","1","0","1","0","1","1","1","1","1","1","1","70200"
"27",27,"Washington and Lee University","Lexington","VA","24450-2116","www.wlu.edu/","37.787832","-79.445724","0.1946",2,"32","1395",58575,"0","1","0","1","0","1","1","1","1","1","1","1","74900"
"28",28,"Cornell University","Ithaca","NY","14853","www.cornell.edu","42.447199","-76.483489","0.1419",2,"13","1422",61608,"1","1","1","1","1","1","1","1","1","1","1","1","81200"
"29",29,"Rice University","Houston","TX","77005-1827","www.rice.edu","29.716485","-95.403625","0.151",2,"11","1460",54291,"0","1","1","1","0","1","1","1","1","1","1","1","76800"
"30",30,"Wellesley College","Wellesley","MA","02481-8203","www.wellesley.edu","42.293765","-71.307966","0.3011",2,"21","1390",59092,"0","1","1","1","0","0","1","1","1","1","0","1","55200"
"31",31,"Vassar College","Poughkeepsie","NY","12604","www.vassar.edu","41.685105","-73.894345","0.2354",2,"21","1403",61320,"0","1","0","1","1","0","1","1","1","1","0","1","48200"
"32",32,"Middlebury College","Middlebury","VT","05753","www.middlebury.edu","44.009117","-73.176068","0.1717",2,"32","1379",59470,"0","1","1","1","0","0","1","1","1","1","0","1","59000"
"33",33,"The University of Virginia's College at Wise","Wise","VA","24293-4400","https://www.uvawise.edu/","36.971468","-82.558728","0.6882",1,"32","946",20095,"0","0","0","1","0","1","0","1","0","1","1","1","37400"
"34",34,"Barnard College","New York","NY","10027-6598","www.barnard.edu","40.809137","-73.964027","0.2377",2,"11","1343",61171,"0","1","1","1","0","0","1","1","1","1","0","1","51200"
"35",35,"College of William and Mary","Williamsburg","VA","23187-8795","www.wm.edu","37.271997","-76.709417","0.3302",1,"23","1373",28329,"0","0","0","1","0","0","1","1","1","1","1","1","59300"
"36",36,"California Institute of Technology","Pasadena","CA","91125","www.caltech.edu","34.139275","-118.12574","0.0883",2,"12","1545",58755,"0","0","0","1","0","1","1","1","0","1","1","1","80500"
"37",37,"University of California-Berkeley","Berkeley","CA","94720","www.berkeley.edu","37.871969","-122.260423","0.1602",1,"12","1382",33020,"0","1","1","1","0","1","1","1","1","1","1","1","62500"
"38",38,"Colby College","Waterville","ME","04901-8840","www.colby.edu","44.564211","-69.66337","0.2805",2,"33","1333",59110,"0","1","0","1","0","0","1","1","1","1","0","1","55500"
"39",39,"Colgate University","Hamilton","NY","13346-1398","www.colgate.edu","42.8188","-75.535","0.2624",2,"32","1369",60050,"0","1","0","1","1","0","1","1","1","1","0","1","62600"
"40",40,"Oberlin College","Oberlin","OH","44074","www.oberlin.edu","41.29474","-82.221786","0.3272",2,"31","1349",62051,"0","1","0","1","0","1","1","1","1","1","0","1","35400"
"41",41,"University of Michigan-Ann Arbor","Ann Arbor","MI","48109","www.umich.edu","42.276061","-83.743121","0.3224",1,"12","1380",26143,"0","1","1","1","1","1","1","1","1","1","1","1","65800"
"42",42,"Vanderbilt University","Nashville","TN","37240","www.vanderbilt.edu","36.14443","-86.804875","0.1309",2,"11","1481",61112,"0","0","0","1","1","1","1","1","1","1","0","1","69700"
"43",43,"University of California-Los Angeles","Los Angeles","CA","90095-1405","www.ucla.edu/","34.068892","-118.443901","0.1856",1,"11","1330",32074,"0","1","1","1","0","1","1","1","1","1","1","1","58800"
"44",44,"University of North Carolina at Chapel Hill","Chapel Hill","NC","27599","www.unc.edu","35.912165","-79.050969","0.285",1,"13","1328",23978,"0","1","0","1","1","0","1","1","1","1","1","1","58200"
"45",45,"Kenyon College","Gambier","OH","43022","www.kenyon.edu/","40.374408","-82.397977","0.2506",2,"32","1332",59960,"0","0","0","0","0","0","1","1","1","1","0","1","38300"
"46",46,"Bucknell University","Lewisburg","PA","17837","www.bucknell.edu","40.954489","-76.886275","0.3072",2,"32","1317",61060,"0","1","0","1","1","1","1","1","1","1","1","1","63800"
"47",47,"Hamilton College","Clinton","NY","13323","www.hamilton.edu","43.047809","-75.408853","0.2635",2,"41","1393",59590,"0","1","0","1","0","0","1","1","1","1","0","1","57900"
"48",48,"College of the Holy Cross","Worcester","MA","01610-2395","www.holycross.edu","42.238942","-71.808627","0.4334",2,"12","NULL",57754,"0","0","0","0","0","0","1","1","1","1","0","1","67600"
"49",49,"Bates College","Lewiston","ME","04240","www.bates.edu/","44.105299","-70.203333","0.2542",2,"13","NULL",61000,"0","1","0","0","0","1","1","1","1","1","0","1","59000"
"50",50,"Whitman College","Walla Walla","WA","99362","www.whitman.edu","46.07135","-118.33016","0.4101",2,"13","1323",56600,"0","0","0","0","0","1","1","1","1","1","0","1","43600"
"51",51,"Smith College","Northampton","MA","01063","www.smith.edu","42.317933","-72.638094","0.4221",2,"21","NULL",60167,"0","1","1","1","1","1","1","1","1","1","0","1","42000"
"52",52,"Lafayette College","Easton","PA","18042-1768","https://www.lafayette.edu/","40.700512","-75.209058","0.2975",2,"21","1300",59750,"0","1","0","1","0","1","1","1","1","1","0","1","64900"
"53",53,"Franklin and Marshall College","Lancaster","PA","17604-3003","WWW.FANDM.EDU","40.048045","-76.319037","0.3893",2,"13","NULL",60765,"0","1","0","1","0","0","1","1","1","1","1","1","53500"
"54",54,"Colorado College","Colorado Springs","CO","80903","www.coloradocollege.edu","38.84657","-104.82422","0.179",2,"11","NULL",57400,"0","1","0","1","1","0","1","1","1","1","0","1","37600"
"55",55,"University of Rochester","Rochester","NY","14627-0011","www.rochester.edu","43.126437","-77.631042","0.3641",2,"12","NULL",61340,"0","1","0","1","1","1","1","1","1","1","1","1","61200"
"56",56,"Harvey Mudd College","Claremont","CA","91711","https://www.hmc.edu","34.106137","-117.710594","0.1425",2,"21","1500",63860,"0","0","0","1","0","1","1","1","1","1","0","0","82100"
"57",57,"Washington University in St Louis","Saint Louis","MO","63130-4899","www.wustl.edu","38.648125","-90.311639","0.1713",2,"21","1478",63755,"0","1","1","1","1","1","1","1","1","1","1","1","68900"
"58",58,"Wake Forest University","Winston-Salem","NC","27106","www.wfu.edu","36.135301","-80.279004","0.3441",2,"12","NULL",60210,"0","0","0","1","1","0","1","1","1","1","1","1","62900"
"59",59,"Villanova University","Villanova","PA","19085-1699","www.villanova.edu","40.039388","-75.345457","0.4933",2,"21","1313",58519,"0","1","0","1","1","1","1","1","1","1","1","1","70700"
"60",60,"Carnegie Mellon University","Pittsburgh","PA","15213-3890","www.cmu.edu/","40.444616","-79.942914","0.246",2,"11","1436",61990,"0","1","1","1","1","1","1","1","1","1","1","1","87400"
"61",61,"Reed College","Portland","OR","97202-8199","www.reed.edu","45.480376","-122.63064","0.3873",2,"11","1383",59595,"0","1","0","0","0","0","1","1","1","1","0","1","36000"
"62",62,"University of Southern California","Los Angeles","CA","90089","www.usc.edu/","34.021058","-118.283858","0.1802",2,"11","1380",62092,"0","1","1","1","0","1","1","1","1","1","1","1","74300"
"63",63,"Johns Hopkins University","Baltimore","MD","21218-2688","www.jhu.edu","39.32838","-76.620799","0.1608",2,"11","1439",61481,"0","1","0","1","1","1","1","1","1","1","1","1","73700"
"64",64,"Macalester College","Saint Paul","MN","55105-1899","www.macalester.edu","44.936709","-93.169855","0.3635",2,"11","1354",57478,"0","1","0","1","1","0","1","1","1","1","0","1","43500"
"65",65,"University of Wisconsin-Madison","Madison","WI","53706-1380","www.wisc.edu","43.073858","-89.405356","0.5694",1,"12","1286",23839,"1","1","1","1","1","1","1","1","1","1","1","1","57600"
"66",66,"Bryn Mawr College","Bryn Mawr","PA","19010","www.brynmawr.edu","40.028541","-75.314988","0.4047",2,"21","1313",59760,"0","0","0","1","0","0","1","1","1","1","0","1","48500"
"67",67,"University of Illinois at Urbana-Champaign","Champaign","IL","61820-5711","www.illinois.edu/","40.108864","-88.230309","0.5904",1,"13","1326",29086,"1","1","1","1","1","1","1","1","1","1","1","1","58100"
"68",68,"Grinnell College","Grinnell","IA","50112-1690","www.grinnell.edu","41.747048","-92.721246","0.2801",2,"33","1398",56354,"0","0","0","1","0","0","1","1","1","1","0","1","46500"
"69",69,"Brandeis University","Waltham","MA","02454-9110","www.brandeis.edu/","42.364947","-71.254716","0.3522",2,"13","1369",61023,"0","1","0","1","1","0","1","1","1","1","1","1","53300"
"70",70,"Emory University","Atlanta","GA","30322","www.emory.edu","33.798836","-84.325782","0.2682",2,"21","1366",59908,"0","1","0","1","1","0","1","1","1","1","1","1","71800"
"71",71,"University of Washington-Seattle Campus","Seattle","WA","98195-4550","www.washington.edu","47.656213","-122.313115","0.5521",1,"11","1240",25637,"1","1","1","1","1","1","1","1","1","1","1","1","57200"
"72",72,"Lehigh University","Bethlehem","PA","18015","www.lehigh.edu","40.607158","-75.378887","0.3427",2,"13","1326",57043,"0","1","1","1","0","1","1","1","1","1","1","1","75600"
"73",73,"New York University","New York","NY","10012-1091","www.nyu.edu","40.729452","-73.997264","0.3545",2,"11","1344",61958,"0","0","0","1","1","1","1","1","1","2","2","1","62800"
"74",74,"University of Florida","Gainesville","FL","32611","www.ufl.edu/","29.649428","-82.339958","0.4561",1,"12","1273",20085,"1","1","2","1","1","1","2","1","2","2","2","1","54300"
"75",75,"Boston University","Boston","MA","02215","www.bu.edu","42.349581","-71.09984","0.3451",2,"11","1300",61396,"0","0","1","1","1","1","1","1","1","1","1","1","59800"
"76",76,"Dickinson College","Carlisle","PA","17013-2896","www.dickinson.edu","40.202796","-77.197854","0.4809",2,"13","NULL",60109,"0","1","0","1","0","0","1","1","1","1","1","1","52200"
"77",77,"Connecticut College","New London","CT","06320-4196","www.conncoll.edu","41.379833","-72.107321","0.376",2,"13","NULL",60682,"0","0","1","1","1","0","1","1","1","1","0","1","49300"
"78",78,"AI Miami International University of Art and Design","Miami","FL","33132-1418","www.artinstitutes.edu/miami/","25.790008","-80.18839","NULL",3,"11","NULL",29975,"0","0","0","1","0","0","0","0","0","0","1","0","30700"
"79",79,"Scripps College","Claremont","CA","91711-3905","www.scrippscollege.edu","34.103655","-117.711336","0.284",2,"21","1360",61370,"0","1","0","1","0","1","1","1","1","1","1","1","43300"
"80",80,"Skidmore College","Saratoga Springs","NY","12866","www.skidmore.edu/","43.092696","-73.785108","0.3734",2,"23","1241",60900,"0","1","0","1","1","0","1","1","1","1","1","1","45000"
"81",81,"Brigham Young University-Idaho","Rexburg","ID","83460-1690","www.byui.edu","43.815384","-111.784728","0.9962",2,"32","1041",11139,"1","1","0","2","1","1","1","1","1","1","2","1","39900"
"82",82,"Santa Clara University","Santa Clara","CA","95053","www.scu.edu","37.352706","-121.938189","0.4935",2,"12","1309",59020,"0","1","0","1","0","1","1","1","1","1","1","1","68400"
"83",83,"California Institute of Technology","Pasadena","CA","91125","www.caltech.edu","34.139275","-118.12574","0.0883",2,"12","1545",58755,"0","0","0","1","0","1","1","1","0","1","1","1","80500"
"84",84,"Kalamazoo College","Kalamazoo","MI","49006-3295","www.kzoo.edu","42.290382","-85.601317","0.6965",2,"13","1239",50800,"0","0","0","1","0","0","1","1","1","1","1","1","43500"
"85",85,"DePauw University","Greencastle","IN","46135-1772","www.depauw.edu","39.63953","-86.863556","0.566",2,"32","1213",53410,"0","1","0","1","1","0","1","1","1","1","0","1","51900"
"86",86,"Cooper Union for the Advancement of Science and Art","New York","NY","10003-7120","www.cooper.edu","40.72938","-73.990516","0.1506",2,"11","1388",57429,"0","0","1","0","0","1","0","0","0","0","0","0","53600"
"87",87,"The University of Texas at Austin","Austin","TX","78712","www.utexas.edu","30.286598","-97.73924","0.3966",1,"11","1296",25918,"0","0","1","1","0","1","1","1","1","1","1","1","60400"
"88",88,"Sewanee-The University of the South","Sewanee","TN","37383-1000","www.sewanee.edu","35.20443","-85.917772","0.647",2,"42","NULL",47970,"0","1","0","1","0","0","1","1","1","1","0","1","42000"
"89",89,"University of Georgia","Athens","GA","30602","www.uga.edu","33.956428","-83.374049","0.5572",1,"12","1248",21981,"1","1","1","1","1","1","1","1","1","1","1","1","48500"
"90",90,"Rhodes College","Memphis","TN","38112-1690","www.rhodes.edu","35.154424","-89.989187","0.5999",2,"11","1296",52958,"0","1","0","1","0","0","1","1","1","1","1","1","50000"
"91",91,"Denison University","Granville","OH","43023-0713","www.denison.edu","40.072582","-82.520625","0.5553",2,"23","NULL",56520,"0","1","0","1","1","0","1","1","1","1","0","1","47100"
"92",92,"Occidental College","Los Angeles","CA","90041-3392","www.oxy.edu","34.126224","-118.210783","0.4204",2,"11","1300",63363,"0","1","0","1","0","0","1","1","1","1","0","1","44700"
"93",93,"Centre College","Danville","KY","40422-1394","www.centre.edu","37.645102","-84.779175","0.7157",2,"32","1263",47897,"0","1","0","1","1","0","1","1","1","1","0","1","41000"
"94",94,"University of Richmond","University of Richmond","VA","23173","www.richmond.edu","37.577625","-77.538702","0.318",2,"12","1337",57535,"0","1","0","1","0","0","1","1","1","1","1","1","62900"
"95",95,"Mount Holyoke College","South Hadley","MA","01075-1489","www.mtholyoke.edu","42.257588","-72.573625","0.547",2,"21","NULL",55454,"0","1","1","1","1","0","1","1","1","1","0","1","42400"
"96",96,"George Washington University","Washington","DC","20052","www.gwu.edu","38.89865","-77.047871","0.4379",2,"11","1297",61394,"0","1","0","1","0","1","1","1","1","1","1","1","70000"
