State,Rank,Name,City,Zip,URL,Latitude,Longitude,ADMrate,Ownership,Citytype,SAT,AvgCost,Major_agriculture,Major_NatureResource,Major_Architecture,Major_CS,Major_Edu,Major_Engineering,Major_Bio,Major_MathStat,Major_Psychology,Major_SocialScience,Major_Business,Major_History,Earn,CrimeRate,HappyRank,HappyScore
CA,1,Stanford University,Stanford,94305,www.stanford.edu/,37.426967,-122.168826,0.0509,2,21,1465,3518,0,0,0,1,0,1,1,1,1,1,0,1,122100,396.1,10,59.96
MA,2,Williams College,Williamstown,01267,www.williams.edu,42.711669,-73.205888,0.1932,2,31,1452,3553,0,1,0,1,0,0,1,1,1,1,0,1,68800,391.4,16,57.42
NJ,3,Princeton University,Princeton,08544-0070,www.princeton.edu,40.34853,-74.663603,0.0744,2,21,1491,3456,0,0,1,0,0,1,1,1,1,1,0,1,93200,261.2,20,56.82
MA,4,Harvard University,Cambridge,02138,www.harvard.edu,42.374429,-71.118177,0.0596,2,12,1501,3508,0,1,0,1,0,1,1,1,1,1,0,1,112800,391.4,16,57.42
MA,5,Massachusetts Institute of Technology,Cambridge,02139-4307,web.mit.edu/student/,42.360095,-71.092115,0.0788,2,12,1500,3491,0,0,1,1,0,1,1,1,0,1,1,1,126500,391.4,16,57.42
CT,6,Yale University,New Haven,06520,www.yale.edu,41.311158,-72.926688,0.063,2,12,1493,3548,0,1,1,1,0,1,1,1,1,1,0,1,100500,236.9,17,57.04
CA,7,Pomona College,Claremont,91711-6319,www.pomona.edu,34.098298,-117.711944,0.1219,2,21,1454,3502,0,1,0,1,0,1,1,1,1,1,0,1,56300,396.1,10,59.96
RI,8,Brown University,Providence,02912,www.brown.edu,41.827605,-71.404467,0.0874,2,12,1435,3521,0,1,0,1,1,1,1,1,1,1,1,1,68500,219.2,27,52.37
CT,9,Wesleyan University,Middletown,06459,www.wesleyan.edu,41.55678,-72.656755,0.2391,2,13,NULL,3567,0,1,0,1,0,0,1,1,1,1,0,1,46500,236.9,17,57.04
PA,10,Swarthmore College,Swarthmore,19081,www.swarthmore.edu,39.904081,-75.356066,0.1702,2,21,1433,3524,0,1,0,1,1,1,1,1,1,1,0,1,46600,314.1,34,49.98
PA,11,University of Pennsylvania,Philadelphia,19104-6303,www.upenn.edu,39.951002,-75.193618,0.1037,2,11,1452,3551,0,1,1,1,0,1,1,1,1,1,1,1,106900,314.1,34,49.98
MA,12,Amherst College,Amherst,01002-5000,www.amherst.edu,42.372459,-72.518493,0.1384,2,21,1439,3546,0,1,1,1,0,0,1,1,1,1,0,1,62100,391.4,16,57.42
IN,13,University of Notre Dame,Notre Dame,46556,www.nd.edu,41.703058,-86.238959,0.2114,2,21,1450,3515,0,1,1,1,1,1,1,1,1,1,1,1,78700,365.3,40,45.94
IL,14,Northwestern University,Evanston,60208,www.northwestern.edu,42.058377,-87.673653,0.1311,2,13,1461,3568,0,1,0,1,1,1,1,1,1,1,1,1,73500,370.0,25,52.6
NY,15,Columbia University in the City of New York,New York,10027,www.columbia.edu,40.808286,-73.961885,0.0695,2,11,1470,3577,0,1,1,1,1,1,1,1,1,1,1,1,92100,381.8,26,52.54
NH,16,Dartmouth College,Hanover,03755-3529,www.dartmouth.edu,43.70408,-72.289951,0.115,2,33,1444,3569,0,1,0,1,0,1,1,1,1,1,0,1,85300,196.1,11,59.5
MA,17,Tufts University,Medford,02155-5555,www.tufts.edu,42.406994,-71.121689,0.1724,2,21,1423,3530,0,1,1,1,0,1,1,1,1,1,0,1,82900,391.4,16,57.42
ME,18,Bowdoin College,Brunswick,04011,www.bowdoin.edu/,43.906902,-69.965241,0.1491,2,31,NULL,3506,0,1,0,1,1,0,1,1,1,1,0,1,63300,127.8,33,51.32
IL,19,University of Chicago,Chicago,60637,WWW.UCHICAGO.EDU,41.78917,-87.601196,0.0876,2,11,1505,3581,0,1,0,1,0,0,1,1,1,2,0,1,81700,370.0,25,52.6
DC,20,Georgetown University,Washington,20057-0001,www.georgetown.edu,38.908809,-77.073463,0.1735,2,11,1414,3563,0,0,0,1,0,0,1,1,1,1,1,1,99400,1244.4,18,57.01
MA,21,Boston College,Chestnut Hill,02467,www.bc.edu,42.337688,-71.171488,0.3391,2,13,1380,3526,0,1,0,1,1,0,1,1,1,1,1,1,77600,391.4,16,57.42
PA,22,Haverford College,Haverford,19041-1392,www.haverford.edu,40.013368,-75.302562,0.2469,2,21,1422,3554,0,0,1,1,0,0,1,1,1,1,0,1,53100,314.1,34,49.98
NC,23,Davidson College,Davidson,28035,www.davidson.edu/,35.500006,-80.845236,0.2167,2,21,1337,3460,0,1,0,0,0,0,1,1,1,1,0,1,60900,329.5,30,52.16
NC,24,Duke University,Durham,27708,WWW.DUKE.EDU,36.00159,-78.94226,0.1141,2,12,1454,3550,0,1,0,1,1,1,1,1,1,1,0,1,98300,329.5,30,52.16
MN,25,Carleton College,Northfield,55057-4001,www.carleton.edu,44.462304,-93.154662,0.2277,2,32,1408,3520,0,1,0,1,0,0,1,1,1,1,0,1,52100,229.1,2,69.09
CA,26,Claremont McKenna College,Claremont,91711-6400,www.cmc.edu,34.102323,-117.706593,0.1077,2,21,1419,3560,0,1,0,1,0,1,1,1,1,1,1,1,70200,396.1,10,59.96
VA,27,Washington and Lee University,Lexington,24450-2116,www.wlu.edu/,37.787832,-79.445724,0.1946,2,32,1395,3486,0,1,0,1,0,1,1,1,1,1,1,1,74900,196.2,21,56.61
NY,28,Cornell University,Ithaca,14853,www.cornell.edu,42.447199,-76.483489,0.1419,2,13,1422,3547,1,1,1,1,1,1,1,1,1,1,1,1,81200,381.8,26,52.54
TX,29,Rice University,Houston,77005-1827,www.rice.edu,29.716485,-95.403625,0.151,2,11,1460,3419,0,1,1,1,0,1,1,1,1,1,1,1,76800,405.9,29,52.23
MA,30,Wellesley College,Wellesley,02481-8203,www.wellesley.edu,42.293765,-71.307966,0.3011,2,21,1390,3492,0,1,1,1,0,0,1,1,1,1,0,1,55200,391.4,16,57.42
NY,31,Vassar College,Poughkeepsie,12604,www.vassar.edu,41.685105,-73.894345,0.2354,2,21,1403,3537,0,1,0,1,1,0,1,1,1,1,0,1,48200,381.8,26,52.54
VT,32,Middlebury College,Middlebury,05753,www.middlebury.edu,44.009117,-73.176068,0.1717,2,32,1379,3497,0,1,1,1,0,0,1,1,1,1,0,1,59000,99.3,14,58.01
VA,33,The University of Virginia's College at Wise,Wise,24293-4400,https://www.uvawise.edu/,36.971468,-82.558728,0.6882,1,32,946,1357,0,0,0,1,0,1,0,1,0,1,1,1,37400,196.2,21,56.61
NY,34,Barnard College,New York,10027-6598,www.barnard.edu,40.809137,-73.964027,0.2377,2,11,1343,3536,0,1,1,1,0,0,1,1,1,1,0,1,51200,381.8,26,52.54
VA,35,College of William and Mary,Williamsburg,23187-8795,www.wm.edu,37.271997,-76.709417,0.3302,1,23,1373,2376,0,0,0,1,0,0,1,1,1,1,1,1,59300,196.2,21,56.61
CA,36,California Institute of Technology,Pasadena,91125,www.caltech.edu,34.139275,-118.12574,0.0883,2,12,1545,3489,0,0,0,1,0,1,1,1,0,1,1,1,80500,396.1,10,59.96
CA,37,University of California-Berkeley,Berkeley,94720,www.berkeley.edu,37.871969,-122.260423,0.1602,1,12,1382,2724,0,1,1,1,0,1,1,1,1,1,1,1,62500,396.1,10,59.96
ME,38,Colby College,Waterville,04901-8840,www.colby.edu,44.564211,-69.66337,0.2805,2,33,1333,3494,0,1,0,1,0,0,1,1,1,1,0,1,55500,127.8,33,51.32
NY,39,Colgate University,Hamilton,13346-1398,www.colgate.edu,42.8188,-75.535,0.2624,2,32,1369,3512,0,1,0,1,1,0,1,1,1,1,0,1,62600,381.8,26,52.54
