"","Rank","Name","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Earn"
"1",1,"Stanford University","Stanford","CA","94305","www.stanford.edu/","37.426967","-122.168826","0.0509",2,"21","1465",3518,"0","0","0","1","0","1","1","1","1","1","0","1","122100"
"2",2,"Williams College","Williamstown","MA","01267","www.williams.edu","42.711669","-73.205888","0.1932",2,"31","1452",3553,"0","1","0","1","0","0","1","1","1","1","0","1","68800"
"3",3,"Princeton University","Princeton","NJ","08544-0070","www.princeton.edu","40.34853","-74.663603","0.0744",2,"21","1491",3456,"0","0","1","0","0","1","1","1","1","1","0","1","93200"
"4",4,"Harvard University","Cambridge","MA","02138","www.harvard.edu","42.374429","-71.118177","0.0596",2,"12","1501",3508,"0","1","0","1","0","1","1","1","1","1","0","1","112800"
"5",5,"Massachusetts Institute of Technology","Cambridge","MA","02139-4307","web.mit.edu/student/","42.360095","-71.092115","0.0788",2,"12","1500",3491,"0","0","1","1","0","1","1","1","0","1","1","1","126500"
"6",6,"Yale University","New Haven","CT","06520","www.yale.edu","41.311158","-72.926688","0.063",2,"12","1493",3548,"0","1","1","1","0","1","1","1","1","1","0","1","100500"
"7",7,"Pomona College","Claremont","CA","91711-6319","www.pomona.edu","34.098298","-117.711944","0.1219",2,"21","1454",3502,"0","1","0","1","0","1","1","1","1","1","0","1","56300"
"8",8,"Brown University","Providence","RI","02912","www.brown.edu","41.827605","-71.404467","0.0874",2,"12","1435",3521,"0","1","0","1","1","1","1","1","1","1","1","1","68500"
"9",9,"Wesleyan University","Middletown","CT","06459","www.wesleyan.edu","41.55678","-72.656755","0.2391",2,"13","NULL",3567,"0","1","0","1","0","0","1","1","1","1","0","1","46500"
"10",10,"Swarthmore College","Swarthmore","PA","19081","www.swarthmore.edu","39.904081","-75.356066","0.1702",2,"21","1433",3524,"0","1","0","1","1","1","1","1","1","1","0","1","46600"
"11",11,"University of Pennsylvania","Philadelphia","PA","19104-6303","www.upenn.edu","39.951002","-75.193618","0.1037",2,"11","1452",3551,"0","1","1","1","0","1","1","1","1","1","1","1","106900"
"12",12,"Amherst College","Amherst","MA","01002-5000","www.amherst.edu","42.372459","-72.518493","0.1384",2,"21","1439",3546,"0","1","1","1","0","0","1","1","1","1","0","1","62100"
"13",13,"University of Notre Dame","Notre Dame","IN","46556","www.nd.edu","41.703058","-86.238959","0.2114",2,"21","1450",3515,"0","1","1","1","1","1","1","1","1","1","1","1","78700"
"14",14,"Northwestern University","Evanston","IL","60208","www.northwestern.edu","42.058377","-87.673653","0.1311",2,"13","1461",3568,"0","1","0","1","1","1","1","1","1","1","1","1","73500"
"15",15,"Columbia University in the City of New York","New York","NY","10027","www.columbia.edu","40.808286","-73.961885","0.0695",2,"11","1470",3577,"0","1","1","1","1","1","1","1","1","1","1","1","92100"
"16",16,"Dartmouth College","Hanover","NH","03755-3529","www.dartmouth.edu","43.70408","-72.289951","0.115",2,"33","1444",3569,"0","1","0","1","0","1","1","1","1","1","0","1","85300"
"17",17,"Tufts University","Medford","MA","02155-5555","www.tufts.edu","42.406994","-71.121689","0.1724",2,"21","1423",3530,"0","1","1","1","0","1","1","1","1","1","0","1","82900"
"18",18,"Bowdoin College","Brunswick","ME","04011","www.bowdoin.edu/","43.906902","-69.965241","0.1491",2,"31","NULL",3506,"0","1","0","1","1","0","1","1","1","1","0","1","63300"
"19",19,"University of Chicago","Chicago","IL","60637","WWW.UCHICAGO.EDU","41.78917","-87.601196","0.0876",2,"11","1505",3581,"0","1","0","1","0","0","1","1","1","2","0","1","81700"
"20",20,"Georgetown University","Washington","DC","20057-0001","www.georgetown.edu","38.908809","-77.073463","0.1735",2,"11","1414",3563,"0","0","0","1","0","0","1","1","1","1","1","1","99400"
"21",21,"Boston College","Chestnut Hill","MA","02467","www.bc.edu","42.337688","-71.171488","0.3391",2,"13","1380",3526,"0","1","0","1","1","0","1","1","1","1","1","1","77600"
"22",22,"Haverford College","Haverford","PA","19041-1392","www.haverford.edu","40.013368","-75.302562","0.2469",2,"21","1422",3554,"0","0","1","1","0","0","1","1","1","1","0","1","53100"
"23",23,"Davidson College","Davidson","NC","28035","www.davidson.edu/","35.500006","-80.845236","0.2167",2,"21","1337",3460,"0","1","0","0","0","0","1","1","1","1","0","1","60900"
"24",24,"Duke University","Durham","NC","27708","WWW.DUKE.EDU","36.00159","-78.94226","0.1141",2,"12","1454",3550,"0","1","0","1","1","1","1","1","1","1","0","1","98300"
"25",25,"Carleton College","Northfield","MN","55057-4001","www.carleton.edu","44.462304","-93.154662","0.2277",2,"32","1408",3520,"0","1","0","1","0","0","1","1","1","1","0","1","52100"
"26",26,"Claremont McKenna College","Claremont","CA","91711-6400","www.cmc.edu","34.102323","-117.706593","0.1077",2,"21","1419",3560,"0","1","0","1","0","1","1","1","1","1","1","1","70200"
"27",27,"Washington and Lee University","Lexington","VA","24450-2116","www.wlu.edu/","37.787832","-79.445724","0.1946",2,"32","1395",3486,"0","1","0","1","0","1","1","1","1","1","1","1","74900"
"28",28,"Cornell University","Ithaca","NY","14853","www.cornell.edu","42.447199","-76.483489","0.1419",2,"13","1422",3547,"1","1","1","1","1","1","1","1","1","1","1","1","81200"
"29",29,"Rice University","Houston","TX","77005-1827","www.rice.edu","29.716485","-95.403625","0.151",2,"11","1460",3419,"0","1","1","1","0","1","1","1","1","1","1","1","76800"
"30",30,"Wellesley College","Wellesley","MA","02481-8203","www.wellesley.edu","42.293765","-71.307966","0.3011",2,"21","1390",3492,"0","1","1","1","0","0","1","1","1","1","0","1","55200"
"31",31,"Vassar College","Poughkeepsie","NY","12604","www.vassar.edu","41.685105","-73.894345","0.2354",2,"21","1403",3537,"0","1","0","1","1","0","1","1","1","1","0","1","48200"
"32",32,"Middlebury College","Middlebury","VT","05753","www.middlebury.edu","44.009117","-73.176068","0.1717",2,"32","1379",3497,"0","1","1","1","0","0","1","1","1","1","0","1","59000"
"33",33,"The University of Virginia's College at Wise","Wise","VA","24293-4400","https://www.uvawise.edu/","36.971468","-82.558728","0.6882",1,"32","946",1357,"0","0","0","1","0","1","0","1","0","1","1","1","37400"
"34",34,"Barnard College","New York","NY","10027-6598","www.barnard.edu","40.809137","-73.964027","0.2377",2,"11","1343",3536,"0","1","1","1","0","0","1","1","1","1","0","1","51200"
