State,Name,Rank,City,Zip,URL,Latitude,Longitude,ADMrate,Ownership,Citytype,SAT,AvgCost,Major_agriculture,Major_NatureResource,Major_Architecture,Major_CS,Major_Edu,Major_Engineering,Major_Bio,Major_MathStat,Major_Psychology,Major_SocialScience,Major_Business,Major_History,CrimeRate,HappyRank,HappyScore
CA,Stanford University,1,Stanford,94305,www.stanford.edu/,37.426967,-122.168826,0.0509,2,21,1465,60311,0,0,0,1,0,1,1,1,1,1,0,1,396.1,10,59.96
MA,Williams College,2,Williamstown,1267,www.williams.edu,42.711669,-73.205888,0.1932,2,31,1452,61850,0,1,0,1,0,0,1,1,1,1,0,1,391.4,16,57.42
NJ,Princeton University,3,Princeton,08544-0070,www.princeton.edu,40.34853,-74.663603,0.0744,2,21,1491,57400,0,0,1,0,0,1,1,1,1,1,0,1,261.2,20,56.82
MA,Harvard University,4,Cambridge,2138,www.harvard.edu,42.374429,-71.118177,0.0596,2,12,1501,59950,0,1,0,1,0,1,1,1,1,1,0,1,391.4,16,57.42
MA,Massachusetts Institute of Technology,5,Cambridge,02139-4307,web.mit.edu/student/,42.360095,-71.092115,0.0788,2,12,1500,59020,0,0,1,1,0,1,1,1,0,1,1,1,391.4,16,57.42
CT,Yale University,6,New Haven,6520,www.yale.edu,41.311158,-72.926688,0.063,2,12,1493,61620,0,1,1,1,0,1,1,1,1,1,0,1,236.9,17,57.04
CA,Pomona College,7,Claremont,91711-6319,www.pomona.edu,34.098298,-117.711944,0.1219,2,21,1454,59730,0,1,0,1,0,1,1,1,1,1,0,1,396.1,10,59.96
RI,Brown University,8,Providence,2912,www.brown.edu,41.827605,-71.404467,0.0874,2,12,1435,60460,0,1,0,1,1,1,1,1,1,1,1,1,219.2,27,52.37
CT,Wesleyan University,9,Middletown,6459,www.wesleyan.edu,41.55678,-72.656755,0.2391,2,13,NULL,62849,0,1,0,1,0,0,1,1,1,1,0,1,236.9,17,57.04
PA,Swarthmore College,10,Swarthmore,19081,www.swarthmore.edu,39.904081,-75.356066,0.1702,2,21,1433,60671,0,1,0,1,1,1,1,1,1,1,0,1,314.1,34,49.98
PA,University of Pennsylvania,11,Philadelphia,19104-6303,www.upenn.edu,39.951002,-75.193618,0.1037,2,11,1452,61800,0,1,1,1,0,1,1,1,1,1,1,1,314.1,34,49.98
MA,Amherst College,12,Amherst,01002-5000,www.amherst.edu,42.372459,-72.518493,0.1384,2,21,1439,61544,0,1,1,1,0,0,1,1,1,1,0,1,391.4,16,57.42
IN,University of Notre Dame,13,Notre Dame,46556,www.nd.edu,41.703058,-86.238959,0.2114,2,21,1450,60117,0,1,1,1,1,1,1,1,1,1,1,1,365.3,40,45.94
IL,Northwestern University,14,Evanston,60208,www.northwestern.edu,42.058377,-87.673653,0.1311,2,13,1461,63028,0,1,0,1,1,1,1,1,1,1,1,1,370.0,25,52.6
NY,Columbia University in the City of New York,15,New York,10027,www.columbia.edu,40.808286,-73.961885,0.0695,2,11,1470,64144,0,1,1,1,1,1,1,1,1,1,1,1,381.8,26,52.54
NH,Dartmouth College,16,Hanover,03755-3529,www.dartmouth.edu,43.70408,-72.289951,0.115,2,33,1444,63279,0,1,0,1,0,1,1,1,1,1,0,1,196.1,11,59.5
MA,Tufts University,17,Medford,02155-5555,www.tufts.edu,42.406994,-71.121689,0.1724,2,21,1423,61000,0,1,1,1,0,1,1,1,1,1,0,1,391.4,16,57.42
ME,Bowdoin College,18,Brunswick,4011,www.bowdoin.edu/,43.906902,-69.965241,0.1491,2,31,NULL,59900,0,1,0,1,1,0,1,1,1,1,0,1,127.8,33,51.32
IL,University of Chicago,19,Chicago,60637,WWW.UCHICAGO.EDU,41.78917,-87.601196,0.0876,2,11,1505,64988,0,1,0,1,0,0,1,1,1,2,0,1,370.0,25,52.6
DC,Georgetown University,20,Washington,20057-0001,www.georgetown.edu,38.908809,-77.073463,0.1735,2,11,1414,62179,0,0,0,1,0,0,1,1,1,1,1,1,1244.4,18,57.01
MA,Boston College,21,Chestnut Hill,2467,www.bc.edu,42.337688,-71.171488,0.3391,2,13,1380,60690,0,1,0,1,1,0,1,1,1,1,1,1,391.4,16,57.42
PA,Haverford College,22,Haverford,19041-1392,www.haverford.edu,40.013368,-75.302562,0.2469,2,21,1422,61898,0,0,1,1,0,0,1,1,1,1,0,1,314.1,34,49.98
NC,Davidson College,23,Davidson,28035,www.davidson.edu/,35.500006,-80.845236,0.2167,2,21,1337,57458,0,1,0,0,0,0,1,1,1,1,0,1,329.5,30,52.16
NC,Duke University,24,Durham,27708,WWW.DUKE.EDU,36.00159,-78.94226,0.1141,2,12,1454,61748,0,1,0,1,1,1,1,1,1,1,0,1,329.5,30,52.16
MN,Carleton College,25,Northfield,55057-4001,www.carleton.edu,44.462304,-93.154662,0.2277,2,32,1408,60401,0,1,0,1,0,0,1,1,1,1,0,1,229.1,2,69.09
CA,Claremont McKenna College,26,Claremont,91711-6400,www.cmc.edu,34.102323,-117.706593,0.1077,2,21,1419,62010,0,1,0,1,0,1,1,1,1,1,1,1,396.1,10,59.96
VA,Washington and Lee University,27,Lexington,24450-2116,www.wlu.edu/,37.787832,-79.445724,0.1946,2,32,1395,58575,0,1,0,1,0,1,1,1,1,1,1,1,196.2,21,56.61
NY,Cornell University,28,Ithaca,14853,www.cornell.edu,42.447199,-76.483489,0.1419,2,13,1422,61608,1,1,1,1,1,1,1,1,1,1,1,1,381.8,26,52.54
TX,Rice University,29,Houston,77005-1827,www.rice.edu,29.716485,-95.403625,0.151,2,11,1460,54291,0,1,1,1,0,1,1,1,1,1,1,1,405.9,29,52.23
MA,Wellesley College,30,Wellesley,02481-8203,www.wellesley.edu,42.293765,-71.307966,0.3011,2,21,1390,59092,0,1,1,1,0,0,1,1,1,1,0,1,391.4,16,57.42
NY,Vassar College,31,Poughkeepsie,12604,www.vassar.edu,41.685105,-73.894345,0.2354,2,21,1403,61320,0,1,0,1,1,0,1,1,1,1,0,1,381.8,26,52.54
VT,Middlebury College,32,Middlebury,5753,www.middlebury.edu,44.009117,-73.176068,0.1717,2,32,1379,59470,0,1,1,1,0,0,1,1,1,1,0,1,99.3,14,58.01
VA,The University of Virginia's College at Wise,33,Wise,24293-4400,https://www.uvawise.edu/,36.971468,-82.558728,0.6882,1,32,946,20095,0,0,0,1,0,1,0,1,0,1,1,1,196.2,21,56.61
NY,Barnard College,34,New York,10027-6598,www.barnard.edu,40.809137,-73.964027,0.2377,2,11,1343,61171,0,1,1,1,0,0,1,1,1,1,0,1,381.8,26,52.54
VA,College of William and Mary,35,Williamsburg,23187-8795,www.wm.edu,37.271997,-76.709417,0.3302,1,23,1373,28329,0,0,0,1,0,0,1,1,1,1,1,1,196.2,21,56.61
CA,California Institute of Technology,36,Pasadena,91125,www.caltech.edu,34.139275,-118.12574,0.0883,2,12,1545,58755,0,0,0,1,0,1,1,1,0,1,1,1,396.1,10,59.96
CA,University of California-Berkeley,37,Berkeley,94720,www.berkeley.edu,37.871969,-122.260423,0.1602,1,12,1382,33020,0,1,1,1,0,1,1,1,1,1,1,1,396.1,10,59.96
