"","Name","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"1","Alabama A & M University","Normal","AL","35762","www.aamu.edu/","34.783368","-86.568502","0.5256",1,"12","827",21475,"1","1","1","1","1","1","1","1","1","1","2","0"
"2","University of Alabama at Birmingham","Birmingham","AL","35294-0110","www.uab.edu","33.50223","-86.80917","0.8569",1,"12","1107",20621,"0","0","0","1","1","1","1","1","1","1","2","1"
"3","Amridge University","Montgomery","AL","36117-3553","www.amridgeuniversity.edu","32.362609","-86.17401","NULL",2,"12","NULL",16370,"0","0","0","0","0","0","0","0","0","0","2","0"
"4","University of Alabama in Huntsville","Huntsville","AL","35899","www.uah.edu","34.722818","-86.63842","0.8203",1,"12","1219",21107,"0","0","0","1","1","1","1","1","1","1","1","1"
"5","Alabama State University","Montgomery","AL","36104-0271","www.alasu.edu","32.364317","-86.295677","0.5326",1,"12","851",18184,"0","0","0","1","1","0","1","1","2","1","1","1"
"6","The University of Alabama","Tuscaloosa","AL","35487-0166","www.ua.edu/","33.2144","-87.545766","0.5105",1,"13","1185",26400,"0","1","0","1","1","2","1","1","1","1","2","1"
"7","Central Alabama Community College","Alexander City","AL","35010","www.cacc.edu","32.924429","-85.94653","NULL",1,"32","NULL",12054,"0","0","0","0","0","0","0","0","0","0","0","0"
"8","Athens State University","Athens","AL","35611","www.athens.edu","34.805625","-86.96514","NULL",1,"31","NULL",NA,"0","0","0","2","2","0","1","1","1","1","2","1"
"9","Auburn University at Montgomery","Montgomery","AL","36117-3596","www.aum.edu","32.369939","-86.177351","0.8017",1,"12","1009",17903,"0","0","0","1","1","0","2","1","1","1","1","1"
"10","Auburn University","Auburn","AL","36849","www.auburn.edu","32.604685","-85.482782","0.8347",1,"13","1215",25282,"1","1","1","1","1","1","1","1","1","1","2","1"
"11","Birmingham Southern College","Birmingham","AL","35254","www.bsc.edu/","33.515453","-86.853636","0.5339",2,"12","1181",45162,"0","1","0","0","1","1","1","1","1","1","1","1"
"12","Chattahoochee Valley Community College","Phenix City","AL","36869","www.cv.edu","32.42391","-85.031485","NULL",1,"41","NULL",6860,"0","0","0","0","0","0","0","0","0","0","0","0"
"13","Concordia College Alabama","Selma","AL","36701","www.ccal.edu/","32.42443","-87.023531","0.5328",2,"32","942",17603,"0","0","0","0","1","0","0","0","0","0","1","0"
"14","South University-Montgomery","Montgomery","AL","36116","southuniversity.edu","32.342684","-86.216488","NULL",3,"12","NULL",27870,"0","0","0","1","0","0","0","0","1","0","1","0"
"15","Enterprise State Community College","Enterprise","AL","36330-1300","www.escc.edu","31.297496","-85.836956","NULL",1,"32","NULL",8676,"0","0","0","0","0","0","0","0","0","0","0","0"
"16","James H Faulkner State Community College","Bay Minette","AL","36507-2698","www.faulknerstate.edu","30.852045","-87.779758","NULL",1,"32","NULL",11194,"0","0","0","0","0","0","0","0","0","0","0","0"
"17","Faulkner University","Montgomery","AL","36109-3390","www.faulkner.edu","32.384181","-86.21641","NULL",2,"12","NULL",30116,"0","0","0","1","1","0","1","1","1","0","1","1"
"18","Gadsden State Community College","Gadsden","AL","35903","www.gadsdenstate.edu","33.991866","-85.991299","NULL",1,"13","NULL",10243,"0","0","0","0","0","0","0","0","0","0","0","0"
"19","New Beginning College of Cosmetology","Albertville","AL","35951","www.nbccosmetology.com","34.27871","-86.196931","NULL",3,"32","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"20","George C Wallace State Community College-Dothan","Dothan","AL","36303-9234","www.wallace.edu","31.316086","-85.46355","NULL",1,"41","NULL",8735,"0","0","0","0","0","0","0","0","0","0","0","0"
"21","George C Wallace State Community College-Hanceville","Hanceville","AL","35077-2000","www.wallacestate.edu","34.07341","-86.781745","NULL",1,"32","NULL",11703,"0","0","0","0","0","0","0","0","0","0","0","0"
"22","George C Wallace State Community College-Selma","Selma","AL","36703-2808","www.wccs.edu","32.445611","-87.01324","NULL",1,"32","NULL",13756,"0","0","0","0","0","0","0","0","0","0","0","0"
